ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
106232915;Piso en venta en calle de Santiago Bernabéu;El Viso;1550000.0;;230.0;6.0;3.0;;True;;;1963.0;Calefacción central;Planta 3ª exterior;True;40°27'2.25'' N;3°41'22.89'' W
104234563;Piso en venta en calle de Villalar;Recoletos;2490000.0;;207.0;4.0;5.0;;;Segunda mano/buen estado;oeste;1900.0;Calefacción individual;Planta 5ª exterior;True;40°25'14.81'' N;3°41'24.54'' W
105897932;Dúplex en venta en calle de La Masó;Mirasierra;1500000.0;;320.0;5.0;3.0;;True;Segunda mano/buen estado;este;;Calefacción central;Planta 6ª exterior;True;40°29'46'' N;3°42'20.39'' W
104544416;Piso en venta en calle de Lope de Rueda;Goya;660000.0;;62.0;2.0;2.0;;;Segunda mano/buen estado;;;;Planta 4ª interior;True;40°25'25.62'' N;3°40'37.98'' W
105392078;Piso en venta en calle de Hermosilla;Goya;1420000.0;;115.0;2.0;3.0;;;Segunda mano/buen estado;;1930.0;Gas natural;Planta 1ª exterior;True;40°25'36.02'' N;3°41'21.57'' W
105510209;Piso en venta en calle de Serrano;Castellana;4400000.0;;306.0;4.0;5.0;;;Segunda mano/buen estado;oeste;;;Planta 3ª exterior;True;40°25'14.99'' N;3°41'19.64'' W
105436920;Piso en venta en calle de Alcalá;Goya;1125000.0;;123.0;2.0;2.0;;;;;1910.0;Gas;Planta 2ª exterior;True;40°25'1.98'' N;3°42'8.09'' W
105949655;Piso en venta en calle de la Povedilla;Goya;889000.0;;98.0;3.0;2.0;;;Segunda mano/buen estado;sur;1940.0;Calefacción individual;Planta 4ª interior;True;40°26'20.5'' N;3°39'58.55'' W
106093199;Piso en venta en calle de María de las Mercedes de Borbón;Valdebebas - Valdefuentes;875000.0;;134.0;3.0;2.0;;True;Segunda mano/buen estado;;2022.0;Calefacción central;Planta 1ª exterior;True;40°29'3.5'' N;3°37'1.54'' W
104252638;Piso en venta en calle de García de Paredes;Trafalgar;1990000.0;;268.0;4.0;4.0;;;Segunda mano/buen estado;;1950.0;Calefacción central;;True;40°26'13.99'' N;3°42'14'' W
106135852;Piso en venta en avenida de América;Guindalera;1290000.0;;237.0;4.0;3.0;;True;Segunda mano/buen estado;;;Calefacción central;Planta 9ª exterior;True;40°26'16.35'' N;3°40'39.02'' W
106091596;Piso en venta en calle del General Díaz Porlier;Lista;675000.0;;61.0;2.0;2.0;;;Segunda mano/buen estado;este;1948.0;Calefacción central;;True;40°25'27.51'' N;3°40'38.6'' W
105386768;Piso en venta en calle de Castelló;Castellana;1499000.0;;170.0;3.0;3.0;;;Segunda mano/buen estado;;;Gas;Planta 1ª interior;True;40°25'20.65'' N;3°40'54.64'' W
