titulo;localizacion;precio;caracteristicas_basicas;caracteristicas_extras;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor
Piso en venta en calle de Viriato;Almagro;1680000;['186 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Zonas verdes', 'Consumo:', 'Emisiones:'];;186;3.0;3.0;;;Segunda mano/buen estado;;;Calefacción central;Planta 3ª exterior;True
Ático en venta en calle de Villalar;Recoletos;2490000;['200 m² construidos', '4 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1900', 'Calefacción individual: Gas natural', 'Planta 5ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;200;4.0;4.0;;;Segunda mano/buen estado;oeste;1900.0;Gas natural;Planta 5ª interior;True
Piso en venta en avenida de Burgos;Castilla;600000;['123 m² construidos, 111 m² útiles', '4 habitaciones', '2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1988', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 13ª exterior', 'Con ascensor'];['Consumo: \n110 kWh/m² año', 'Emisiones: \n20 kg CO2/m² año'];;123;4.0;2.0;;;Segunda mano/buen estado;este;1988.0;Gas natural;Planta 13ª exterior;True
Piso en venta en Chueca-Justicia;Centro;1350000;['180 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;180;3.0;2.0;;;Segunda mano/buen estado;oeste;;Calefacción individual;Planta 4ª exterior;True
Piso en venta en calle del General Margallo;Cuzco-Castillejos;599000;['106 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1960', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'No indicado'];;106;3.0;2.0;;;Segunda mano/buen estado;norte;1960.0;Calefacción central;Planta 2ª exterior;True
Piso en venta en calle de García de Paredes;Trafalgar;1990000;['268 m² construidos', '4 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual: Gas natural', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;268;4.0;3.0;;;Segunda mano/buen estado;sur;;Gas natural;Planta 3ª exterior;True
Piso en venta en calle de Narváez;Ibiza;864900;['134 m² construidos, 109 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción central: Gas', 'Planta 6ª interior', 'Con ascensor'];['Aire acondicionado', 'No indicado'];;134;3.0;2.0;;;Segunda mano/buen estado;;;Gas;Planta 6ª interior;True
Piso en venta en calle de Hermosilla;Fuente del Berro;637000;['107 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1960', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'No indicado'];;107;2.0;2.0;;;Segunda mano/buen estado;norte;1960.0;Calefacción central;Planta 1ª exterior;True
 Chalet adosado en venta en Bernabéu-Hispanoamérica;Chamartín;1985000;['Chalet adosado', '4 plantas', '372 m² construidos', '5 habitaciones', '5 baños', 'Parcela de 139 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación este, oeste', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;372;5.0;5.0;139.0;True;Segunda mano/buen estado;oeste;;Gas natural;;
Piso en venta en calle de Núñez de Balboa;Recoletos;850000;['81 m² construidos, 69 m² útiles', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Orientación oeste', 'Calefacción individual: Gas natural', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'No indicado'];;81;;;;;Segunda mano/buen estado;oeste;;Gas natural;Planta 4ª exterior;True
Piso en venta en calle de José Domingo Rus;Canillas;455000;['94 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1970', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'No indicado'];;94;3.0;2.0;;;Segunda mano/buen estado;sur;1970.0;Eléctrica;Planta 1ª exterior;True
Piso en venta en calle de las Minas;Malasaña-Universidad;735000;['139 m² construidos', '3 habitaciones', '1 baño', 'Balcón', 'Segunda mano/para reformar', 'Trastero', 'Orientación sur, este', 'Construido en 1900', 'Calefacción individual: Eléctrica', 'Planta 1ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;139;3.0;;;;;este;1900.0;Eléctrica;Planta 1ª exterior;True
Ático en venta en calle de Juan Sánchez;Peñagrande;830000;['184 m² construidos, 125 m² útiles', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2006', 'Calefacción individual: Gas natural', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'No indicado'];;184;4.0;3.0;;True;Segunda mano/buen estado;este;2006.0;Gas natural;Planta 5ª exterior;True
Piso en venta en calle del Príncipe de Vergara;Bernabéu-Hispanoamérica;1290000;['142 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Orientación este', 'Construido en 1953', 'Calefacción individual', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones:'];;142;4.0;3.0;;;Segunda mano/buen estado;este;1953.0;Calefacción individual;Planta 7ª exterior;True
Piso en venta en calle de la Cruz;Huertas-Cortes;1390000;['163 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Calefacción individual', 'Planta 2ª exterior', 'Sin ascensor'];['Aire acondicionado', 'Consumo: \n22 kWh/m² año', 'Emisiones:'];;163;2.0;2.0;;;Segunda mano/buen estado;;;Calefacción individual;Planta 2ª exterior;True
Piso en venta en Malasaña-Universidad;Centro;1149000;['170 m² construidos', '3 habitaciones', '5 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 1910', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Bajo exterior', 'Sin ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;170;3.0;5.0;;;Segunda mano/buen estado;este;1910.0;Gas natural;;True
Piso en venta en calle de la Ballesta;Malasaña-Universidad;291000;['37 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1880', 'Calefacción individual: Eléctrica', 'Planta 1ª interior', 'Sin ascensor'];['Consumo: \n246 kWh/m² año', 'Emisiones: \n51 kg CO2/m² año'];;37;;;;;Segunda mano/buen estado;;1880.0;Eléctrica;Planta 1ª interior;True
Piso en venta en calle de Lavapiés;Lavapiés-Embajadores;339000;['72 m² construidos, 58 m² útiles', '2 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1970', 'Calefacción individual: Eléctrica', 'Planta 4ª exterior', 'Sin ascensor'];['Aire acondicionado', 'Consumo: \n372 kWh/m² año', 'Emisiones: \n63 kg CO2/m² año'];;72;2.0;;;;Segunda mano/buen estado;este;1970.0;Eléctrica;Planta 4ª exterior;True
Piso en venta en calle de Gonzalo de Córdoba, 22;Trafalgar;1370000;['140 m² construidos, 133 m² útiles', '3 habitaciones', '4 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte, sur, este, oeste', 'Construido en 1910', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];22.0;140;3.0;4.0;;;Segunda mano/buen estado;oeste;1910.0;Gas;Planta 2ª exterior;True
Piso en venta en calle de Belén;Chueca-Justicia;580000;['74 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1905', 'Calefacción individual: Eléctrica', 'Planta 1ª interior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;74;;;;;Segunda mano/buen estado;;1905.0;Eléctrica;Planta 1ª interior;True
Piso en venta en calle de Esparteros;Sol;1790000;['214 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1880', 'Calefacción individual: Eléctrica', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;214;2.0;2.0;;;Segunda mano/buen estado;;1880.0;Eléctrica;Planta 4ª exterior;True
Piso en venta en calle de Maldonado;Castellana;3500000;['316 m² construidos', '3 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1925', 'Calefacción central: Gas', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;316;3.0;4.0;;;Segunda mano/buen estado;sur;1925.0;Gas;Planta 3ª exterior;True
Piso en venta en calle de José Ortega y Gasset;Lista;1400000;['104 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1924', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'En trámite'];;104;2.0;2.0;;;Segunda mano/buen estado;;1924.0;;Planta 7ª exterior;True
Piso en venta en calle del Doctor Castelo;Ibiza;790000;['70 m² construidos, 65 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación norte', 'Construido en 1930', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n120,3 kWh/m² año', 'Emisiones: \n24,4 kg CO2/m² año'];;70;2.0;2.0;;;Segunda mano/buen estado;norte;1930.0;Gas natural;Planta 3ª exterior;True
 Chalet adosado en venta en avenida de la Osa Mayor;Aravaca;1298800;['Chalet adosado', '3 plantas', '450 m² construidos', '5 habitaciones', '5 baños', 'Parcela de 300 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Construido en 1982', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;450;5.0;5.0;300.0;True;Segunda mano/buen estado;oeste;1982.0;Calefacción individual;;
Piso en venta en Conde Orgaz-Piovera;Hortaleza;1220000;['176 m² construidos', '3 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2023', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'Consumo: \n29,78 kWh/m² año', 'Emisiones: \n5,96 kg CO2/m² año'];;176;3.0;3.0;;True;Segunda mano/buen estado;este;2023.0;Calefacción central;Planta 1ª exterior;True
Ático en venta en calle del General Pardiñas, 26;Goya;1090000;['100 m² construidos', '2 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];26.0;100;2.0;2.0;;;Segunda mano/buen estado;oeste;;;Planta 6ª exterior;True
Piso en venta en Recoletos;Barrio de Salamanca;4500000;['305 m² construidos', '3 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1965', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;305;3.0;4.0;;;Segunda mano/buen estado;sur;1965.0;Calefacción individual;Planta 1ª exterior;True
 Casa o chalet independiente en venta en paseo de La Habana;Nueva España;3110000;['Casa o chalet independiente', '430 m² construidos', '5 habitaciones', '5 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'No dispone de calefacción'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;430;5.0;5.0;;True;;;;;;
 Casa o chalet independiente en venta en calle Caléndula, 28;Valdebebas - Valdefuentes;1750000;['Casa o chalet independiente', '3 plantas', '425 m² construidos', '5 habitaciones', '6 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2024', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];28.0;425;5.0;6.0;;True;Segunda mano/buen estado;;2024.0;Calefacción individual;;
 Chalet adosado en venta en Conde Orgaz-Piovera;Hortaleza;1890000;['Chalet adosado', '385 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1994', 'Calefacción individual: Gas natural'];['Piscina', 'Jardín', 'En trámite'];;385;5.0;4.0;;True;Segunda mano/buen estado;sur;1994.0;Gas natural;;
Piso en venta en calle del Duque de Sesto;Goya;1430000;['133 m² construidos', '3 habitaciones', '4 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;133;3.0;4.0;;;Segunda mano/buen estado;;;;Planta 1ª exterior;True
Piso en venta en calle de Jorge Juan;Goya;1890000;['142 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;142;3.0;2.0;;;Segunda mano/buen estado;este;;Calefacción central;Planta 3ª exterior;True
Piso en venta en calle de José Ortega y Gasset;Castellana;7900000;['473 m² construidos', '4 habitaciones', '4 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción central', 'Planta 2ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;473;4.0;4.0;;True;Segunda mano/buen estado;sur;;Calefacción central;Planta 2ª exterior;True
Piso en venta en calle de Francisco Silvela;Lista;1740000;['244 m² construidos', '4 habitaciones', '5 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;244;4.0;5.0;;True;Segunda mano/buen estado;oeste;;Calefacción central;Planta 4ª exterior;True
Piso en venta en calle de Núñez de Balboa;Recoletos;850500;['81 m² construidos', '1 habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1974', 'Calefacción central', 'Planta 4ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;81;;;;;Segunda mano/buen estado;este;1974.0;Calefacción central;Planta 4ª exterior;True
Piso en venta en calle del Príncipe de Vergara;Recoletos;1830000;['175 m² construidos', '2 habitaciones', '3 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Calefacción central', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;175;2.0;3.0;;;Segunda mano/buen estado;oeste;;Calefacción central;Planta 1ª exterior;True
Piso en venta en calle de José Rizal;Conde Orgaz-Piovera;1220000;['201 m² construidos', '4 habitaciones', '4 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1991', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor'];['Aire acondicionado', 'Piscina', 'Zonas verdes', 'No indicado'];;201;4.0;4.0;;True;Segunda mano/buen estado;oeste;1991.0;Gas natural;Planta 1ª exterior;True
Piso en venta en calle de Alcalá;Recoletos;3895000;['242 m² construidos, 240 m² útiles', '4 habitaciones', '5 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción central: Gas', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;242;4.0;5.0;;;Segunda mano/buen estado;sur;;Gas;Planta 3ª exterior;True
Piso en venta en calle de Claudio Coello;Recoletos;1480000;['144 m² construidos', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción individual: Gas natural', 'Planta 7ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;144;2.0;2.0;;;Segunda mano/buen estado;;;Gas natural;Planta 7ª exterior;True
Piso en venta en calle de Génova;Almagro;3700000;['309 m² construidos', '4 habitaciones', '5 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Construido en 1940', 'Calefacción central', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;309;4.0;5.0;;;;;1940.0;Calefacción central;Planta 3ª exterior;True
