titulo;localizacion;precio;caracteristicas_basicas;caracteristicas_extras;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor
Piso en venta en calle de Alfonso XII;Jerónimos;1550000;['165 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación este', 'Planta 1ª exterior', 'Con ascensor'];['Consumo:', 'Emisiones:'];;165;3.0;2.0;;;;este;;;Planta 1ª exterior;True
 Casa o chalet independiente en venta en calle de Cambrils, 3 --b;Mirasierra;2460000;['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2002', 'Calefacción individual: Gas natural'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];3.0;753;7.0;6.0;750.0;True;Segunda mano/buen estado;este;2002.0;Gas natural;;
Piso en venta en calle de Marceliano Santa María;El Viso;1449000;['170 m² construidos', '3 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Trastero', 'Orientación este', 'Construido en 1945', 'Planta 6ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];;170;3.0;3.0;;;Segunda mano/buen estado;este;1945.0;;Planta 6ª exterior;True
Piso en venta en calle del Conde de Peñalver;Goya;2300000;['170 m² construidos, 156 m² útiles', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Segunda mano/para reformar', 'Armarios empotrados', 'Calefacción individual: Gas natural', 'Planta 4ª exterior', 'Con ascensor'];['Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;170;3.0;2.0;;;;;;Gas natural;Planta 4ª exterior;True
Ático en venta en calle de Mesonero Romanos, 4;Sol;1080000;['147 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Orientación norte, este', 'Construido en 1900', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo:', 'Emisiones:'];4.0;147;4.0;3.0;;;Segunda mano/buen estado;este;1900.0;Calefacción individual;Planta 5ª exterior;True
 Casa o chalet independiente en venta en Conde Orgaz-Piovera;Hortaleza;2450000;['Casa o chalet independiente', '800 m² construidos', '5 habitaciones', '6 baños', 'Parcela de 860 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 1987'];['Piscina', 'Jardín', 'En trámite'];;800;5.0;6.0;860.0;True;Segunda mano/buen estado;;1987.0;;;
Piso en venta en calle de Goya;Goya;3600000;['379 m² construidos', '5 habitaciones', '5 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1955', 'Calefacción individual', 'Planta 3ª exterior', 'Con ascensor'];['Aire acondicionado', 'Consumo: \n138 kWh/m² año', 'Emisiones: \n34 kg CO2/m² año'];;379;5.0;5.0;;;Segunda mano/buen estado;sur;1955.0;Calefacción individual;Planta 3ª exterior;True
 Chalet adosado en venta en paseo de La Habana;Nueva España;3110000;['Chalet adosado', '3 plantas', '395 m² construidos', '5 habitaciones', '6 baños', 'Parcela de 431 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur', 'Construido en 1987', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo: \n1 kWh/m² año', 'Emisiones: \n1 kg CO2/m² año'];;395;5.0;6.0;431.0;True;;sur;1987.0;Calefacción individual;;
 Casa o chalet independiente en venta en calle de Cambrils;Mirasierra;2460000;['Casa o chalet independiente', '3 plantas', '753 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 750 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Calefacción individual'];['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;753;7.0;6.0;750.0;True;Segunda mano/buen estado;sur;;Calefacción individual;;
 Chalet adosado en venta en calle Brújula;Aravaca;1350000;['Chalet adosado', '4 plantas', '303 m² construidos', '4 habitaciones', '5 baños', 'Parcela de 180 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1999', 'Calefacción individual: Gas natural'];['Piscina', 'Jardín', 'Consumo:', 'Emisiones:'];;303;4.0;5.0;180.0;True;Segunda mano/buen estado;sur;1999.0;Gas natural;;
